Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
R.J. Hampton,Orl,26,25.2,52.5,21.5,12.9,70,0.657,184,0.484,69,0.319,0.482,0.511,11.2,5,10.2,2.8,17.8,0.62,0.35,1.62,8.6,100.4,110.7
Lonnie Walker IV,San,60,25.4,52.8,20.2,9.2,70,0.814,327,0.477,282,0.355,0.502,0.523,11.2,2.6,5.4,1.7,9.6,0.48,0.25,1.08,5.8,99.9,111.1
Cam Reddish,Atl,26,28.9,60.1,19.3,10.2,82,0.817,137,0.46,126,0.262,0.428,0.488,11.2,4,7.6,1.3,6.5,1.27,0.35,1.31,5.4,99.1,106.2
Serge Ibaka,Lac,41,23.3,48.5,20.1,10.2,53,0.811,250,0.588,115,0.339,0.563,0.585,11.1,6.7,16.2,1.8,11.5,0.22,1.15,1.07,8.8,118.4,105.3
Terence Davis,Sac,27,21.5,44.8,22,11.5,37,0.784,101,0.535,145,0.372,0.549,0.57,11.1,3.3,8.4,1.7,11.3,1.04,0.26,1.26,7.4,106.5,111
Ignas Brazdeikis,Orl,8,29.2,60.9,17.6,11.5,12,0.667,52,0.462,27,0.407,0.513,0.528,11.1,5.1,9.1,2,10.6,0.5,0.38,1.38,6.6,103.3,108.3
Jeff Green,Bro,68,27,56.2,15.6,8.2,161,0.776,280,0.564,250,0.412,0.59,0.624,11,3.9,7.9,1.6,7.8,0.53,0.4,0.79,6.1,121.8,111
Moritz Wagner,Orl,11,26,54.1,18.2,10.8,33,0.879,50,0.44,43,0.372,0.495,0.563,11,4.9,9.8,1.1,6.4,0.36,0.82,1.18,6,109.2,104.4
Nickeil Alexander-Walker,Nor,46,21.9,45.6,23.2,12.4,66,0.727,239,0.485,219,0.347,0.502,0.522,11,3.1,7.8,2.2,14.7,1.02,0.48,1.5,7.7,100.5,106.5
Oshae Brissett,Ind,21,24.7,51.5,15.6,5.3,65,0.769,73,0.548,78,0.423,0.593,0.638,10.9,5.5,12,0.9,4.6,0.9,0.95,0.48,6.1,129.2,109.6
Reggie Bullock,Nyk,65,30,62.5,14.4,7.1,55,0.909,163,0.521,398,0.41,0.587,0.606,10.9,3.4,6.2,1.5,7.4,0.8,0.17,0.69,5.1,118.4,105.2
Wendell Carter Jr.,Chi,32,24.7,51.5,19.2,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.4,2.2,12.3,0.56,0.75,1.53,9.3,114.8,100.9
