Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Ryan Arcidiacono,Chi,44,10.2,21.3,13.1,7.4,20,0.65,50,0.48,67,0.373,0.526,0.541,3.1,1.5,8.2,1.3,16.3,0.2,0,0.23,7.1,117.6,105.3
Mamadi Diakite,Mil,14,10.1,21,14.6,6.1,14,0.786,32,0.469,8,0.125,0.413,0.477,3.1,2.4,12.7,0.6,6.9,0.5,0.43,0.21,6.5,109,100.6
Jahmi'us Ramsey,Sac,13,7.3,15.1,19.7,6.9,5,1,19,0.526,19,0.263,0.461,0.498,3.1,0.8,5.9,0.5,8.7,0.31,0.08,0.23,5.9,102,112.7
Romeo Langford,Bos,18,15.7,32.7,11.3,13.5,12,0.75,41,0.39,18,0.278,0.398,0.436,3.1,1.9,6.9,0.7,5.9,0.33,0.22,0.56,4.1,94.3,109.7
Rodions Kurucs,Mil,5,6.7,14,16,31.1,2,1,4,0.5,4,0.75,0.813,0.845,3,1.8,14,0.8,15.2,0.6,0,0.8,9.7,126.1,85.1
Sam Merrill,Mil,30,7.8,16.2,15.1,11.9,4,1,25,0.44,47,0.447,0.59,0.603,3,1,6.8,0.7,11.4,0.27,0.03,0.33,6.6,117.5,108
Reggie Perry,Bro,26,8.1,16.9,20.4,15.2,13,0.769,57,0.491,21,0.19,0.436,0.466,3,2.8,19.1,0.5,9,0.23,0.23,0.58,8,100.3,94.2
Dennis Smith Jr.,Nyk,3,9.2,19.2,22,7.3,6,0.833,6,0.333,4,0,0.2,0.356,3,0.7,3.9,1,14.6,1,0,0.33,5.6,83.5,92.9
Norvel Pelle,Sac,1,3.8,7.9,31.3,0,4,0.75,1,0,0,0,0,0.543,3,1,14.6,1,29.7,0,0,0,15.2,,
Trent Forrest,Uta,30,10.1,21,14.3,20.9,19,1,45,0.6,26,0.192,0.486,0.554,2.9,1.5,7.7,1.5,19.9,0.3,0.13,0.7,7.4,112.4,104.5
Thanasis Antetokounmpo,Mil,57,9.7,20.1,15.3,21.3,49,0.51,108,0.556,29,0.241,0.515,0.523,2.9,2.2,11.8,0.8,10.3,0.39,0.18,0.75,7.1,103.3,100.5
Harry Giles III,Por,38,9.2,19.1,15.9,15.5,27,0.593,74,0.459,23,0.348,0.474,0.496,2.8,3.5,20.4,0.8,11.3,0.21,0.34,0.53,8.6,105.8,98.5
Matthew Dellavedova,Cle,13,17.2,35.9,12.4,9.4,4,1,31,0.323,25,0.16,0.286,0.312,2.8,1.8,6,4.5,35.2,0.31,0.08,0.46,6.6,100.3,110.2
Kyle Guy,Sac,31,7.6,15.8,19.7,10.2,20,0.8,42,0.381,46,0.283,0.403,0.449,2.8,1.1,8.3,1,17.8,0.19,0,0.35,7.7,98.5,112.5
Markus Howard,Den,37,5.5,11.5,27.2,14.1,9,0.778,41,0.537,65,0.277,0.462,0.477,2.8,0.6,5.8,0.5,12.6,0.11,0.03,0.49,6.9,89,105.6
Jordan Bell,Was,5,13.4,28,14.2,13,0,0,18,0.389,2,0,0.35,0.35,2.8,3.8,15,1,9.4,0.6,0.6,0.6,6.6,85.6,106.3
Wes Iwundu,Nor,18,14,29.1,11.8,18.4,17,0.824,32,0.469,18,0.111,0.36,0.435,2.8,2.6,9.9,0.4,3.9,0.33,0.06,0.72,4.1,85.6,107.2
Bruno Caboclo,Hou,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,0.67,7.1,83.1,98.6
Mason Jones,Phi,6,4.5,9.4,20.7,7.6,7,0.714,7,0.571,2,0.5,0.611,0.662,2.7,0.7,8.1,0.5,16.4,0.17,0,0.17,8.7,139,106.6
Chris Silva,Mia,11,7.5,15.7,15.6,31.5,15,0.733,12,0.667,1,1,0.731,0.765,2.7,2.3,17.3,0.5,10.3,0.09,0.45,0.82,7.8,116.9,86.1
Matt Thomas,Tor,26,7.4,15.4,16,8.4,7,0.857,21,0.333,41,0.415,0.524,0.545,2.7,0.8,6,0.3,6.7,0.08,0,0.23,4.7,105.9,114.7
Frank Ntilikina,Nyk,33,9.8,20.3,13.6,11.2,18,0.444,31,0.194,48,0.479,0.513,0.512,2.7,0.9,5.2,0.6,8.2,0.55,0.12,0.33,4.6,101.8,96.7
Jabari Parker,Sac,3,9.1,19,15.8,30,0,0,6,0.667,1,0,0.571,0.571,2.7,2,12.2,0.3,5,0,0.33,1,5.2,82.7,105.6
Marcos Louzada Silva,Nor,3,18.8,39.1,11.9,18.8,0,0,5,0.2,8,0.25,0.308,0.308,2.7,1,2.9,1,6.5,0.67,0,1,3,65.8,109.3
Tacko Fall,Bos,18,7.5,15.7,13.2,14.4,15,0.333,29,0.724,0,0,0.724,0.66,2.6,2.9,21.4,0.2,3.1,0.06,1.11,0.33,6.1,123.1,96.3
P.J. Tucker,Mil,20,19.8,41.3,5.8,12.7,5,0.6,13,0.385,33,0.394,0.533,0.539,2.6,2.8,7.4,0.8,4.6,0.5,0.1,0.35,3.6,119.1,107.4
Javonte Green,Chi,16,8,16.7,14,14.5,10,1,23,0.478,8,0.375,0.5,0.579,2.6,1.2,8.2,0.4,6.1,0.63,0.25,0.38,5.4,111.5,102.4
Keita Bates-Diop,San,30,8.2,17,14.8,8.4,21,0.667,50,0.5,17,0.294,0.485,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,0.23,5.8,105.6,109.9
Josh Green,Dal,39,11.4,23.8,11.9,14.2,23,0.565,68,0.559,25,0.16,0.473,0.49,2.6,2,9.7,0.7,8.3,0.41,0.08,0.44,5.4,105.4,108.2
Amida Brimah,Ind,5,5.9,12.2,19.4,30,3,1,8,0.625,0,0,0.625,0.697,2.6,1.6,14.8,0.2,4.7,0,1,0.8,6.4,101,102.1
R.J. Hampton,Den,25,9.3,19.4,14.3,14.4,12,0.75,42,0.476,18,0.278,0.458,0.49,2.6,2,12.2,0.6,7.7,0.2,0.08,0.44,6.3,99.3,105.6
Anderson Varejao,Cle,5,7.2,15,25.4,4.8,9,0.556,15,0.267,1,0,0.25,0.326,2.6,4,31.1,0.6,12.2,0,0.4,0.2,10.2,90.1,104.6
Grant Riller,Cha,7,3.9,8.1,20.6,7.7,0,0,8,0.75,4,0.5,0.75,0.75,2.6,0.1,2,0.4,20.6,0.14,0,0.14,4.8,,
Gary Payton II,Gol,10,4,8.4,16.7,6.3,4,0.75,9,0.889,4,0.5,0.846,0.847,2.5,1.1,14.5,0.1,4,0.6,0.1,0.1,6.5,152.6,83.7
Rondae Hollis-Jefferson,Por,11,9.8,20.3,10.8,7.4,16,0.563,17,0.529,1,0,0.5,0.539,2.5,2.4,12.9,1.2,15.6,0.18,0.36,0.18,7.9,134.5,104.7
Torrey Craig,Mil,18,11.2,23.3,10.8,9.6,2,0.5,24,0.417,22,0.364,0.478,0.48,2.5,2.4,11.2,0.9,9.5,0.5,0.39,0.28,6.3,112.3,101.2
Tre Jones,San,37,7.3,15.1,16.1,13.1,19,0.895,73,0.466,5,0.6,0.494,0.544,2.5,0.6,4.2,1.1,20,0.22,0,0.35,6.5,111.8,113.6
KZ Okpala,Mia,37,12.1,25.2,11.9,12.8,15,0.533,46,0.522,50,0.24,0.438,0.448,2.5,1.8,8.7,0.5,5.8,0.27,0.3,0.41,4.3,94,101.3
Brodric Thomas,Hou,4,6.1,12.6,24.7,28.4,7,0.714,1,1,6,0.167,0.357,0.496,2.5,1,8.8,1,22.5,0.25,0.25,1,8.9,88.4,96.3
Rayjon Tucker,Phi,14,4.9,10.1,19.2,13.2,19,0.737,11,0.636,7,0.286,0.556,0.645,2.4,0.8,8.9,0.4,12.2,0.14,0,0.29,7.5,122.7,99.4
Vernon Carey Jr.,Cha,19,6,12.6,17.2,10.9,11,0.818,29,0.586,7,0.143,0.514,0.563,2.4,1.4,12.8,0.1,2.6,0.05,0.26,0.26,4.6,107.1,104
Jeremiah Martin,Cle,9,8.4,17.4,23.9,14.6,5,0.2,21,0.286,12,0.25,0.318,0.313,2.4,0.8,5.2,0.4,7.9,0.56,0.22,0.67,4.4,62.8,116.3
Jarrell Brantley,Uta,28,4.9,10.3,19,13.1,2,1,24,0.542,28,0.429,0.596,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,0.29,8.6,119.8,97.3
CJ Elleby,Por,30,6.4,13.4,17.4,6.4,15,0.733,32,0.563,34,0.206,0.432,0.468,2.3,1.1,8.9,0.3,7.1,0.2,0.1,0.17,5.7,104.4,104.7
Justin Robinson,Okc,9,9.8,20.3,12.2,7.9,5,0.6,7,0.429,14,0.286,0.429,0.453,2.3,0.8,4.1,1,14.1,0.33,0,0.22,5,102,106.8
Quinndary Weatherspoon,San,20,6.1,12.6,18.7,19.2,16,0.813,29,0.517,6,0.167,0.471,0.547,2.3,0.6,4.8,0.4,9,0.4,0.1,0.5,5.4,96.6,100
Alex Len,Tor,7,10.8,22.6,11.8,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.7,103.5
Sean McDermott,Mem,18,8.8,18.3,10.9,9.9,8,1,11,0.727,22,0.227,0.47,0.534,2.2,1.1,6.4,0.2,3.2,0.11,0.17,0.22,3.6,108.9,112.8
Bol Bol,Den,32,5,10.4,21.2,16.8,15,0.667,34,0.471,24,0.375,0.509,0.534,2.2,0.8,8.5,0.2,6,0.09,0.31,0.41,5.6,91.6,107
Ed Davis,Min,23,13,27.1,7.9,12.4,12,0.833,44,0.432,0,0,0.432,0.487,2.1,5,20.8,0.9,9,0.57,0.57,0.3,6.5,127.7,95.9
Devon Dotson,Chi,11,4.6,9.5,18.1,0,0,0,14,0.714,7,0.143,0.548,0.548,2.1,0.5,5.5,0.6,21.3,0.36,0,0,7.5,125.6,108
Vlatko Cancar,Den,41,6.9,14.3,14.4,15.1,13,0.769,40,0.6,33,0.273,0.514,0.54,2.1,1.2,10.3,0.3,6.4,0.27,0.05,0.34,5.3,103.5,108.8
Wes Iwundu,Dal,23,12.5,26.1,9.9,9.4,14,0.857,29,0.483,23,0.13,0.356,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.6,106.6
Deividas Sirvydis,Det,20,6.7,13.9,15.6,10.5,6,0.5,12,0.333,28,0.357,0.475,0.481,2.1,1.5,12.1,0.3,5.4,0.1,0,0.25,5.9,90,107.7
Quinn Cook,Lal,16,3.9,8.1,21.8,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12.5,0.06,0.06,0.19,5.9,,
Devontae Cacok,Lal,20,4.9,10.2,16.9,10.6,11,0.455,29,0.586,0,0,0.586,0.576,2,1.6,17.8,0.1,1.5,0.25,0.2,0.2,5.6,112.8,98.8
Luke Kornet,Chi,13,7.2,15,13.8,3.4,4,0.5,4,0.75,23,0.261,0.444,0.452,2,1.2,9.5,0.3,5.5,0.15,0.54,0.08,5,98.9,115.3
Jalen Smith,Pho,27,5.8,12,17.2,11.7,7,0.714,33,0.545,17,0.235,0.48,0.499,2,1.4,13.5,0.1,3.4,0.04,0.19,0.26,4.5,96.2,103.7
Jontay Porter,Mem,11,4.9,10.2,18.9,28.9,5,0.6,7,0.714,8,0.375,0.633,0.64,2,1.3,13.7,0.1,2.5,0.27,0.09,0.64,5.2,92.2,88.5
Nicolo Melli,Nor,22,11,22.9,12,10.1,7,0.857,22,0.364,37,0.189,0.314,0.346,2,2.6,12.8,1.1,12.7,0.41,0.05,0.32,6.5,92,102.7
Nate Hinton,Dal,21,4.4,9.3,24.3,9.7,10,0.7,23,0.478,19,0.211,0.405,0.442,2,0.4,5.3,0.4,12.3,0.29,0.1,0.24,6.2,90.5,106.3
Isaac Bonga,Was,40,10.8,22.5,10.2,20.7,8,0.625,34,0.5,47,0.277,0.451,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,0.55,4.7,89.4,102.2
Norvel Pelle,Bro,3,9.3,19.3,15.7,30,0,0,7,0.429,0,0,0.429,0.429,2,2.3,13.9,0,0,0,1,1,0,75.8,83.2
Ray Spalding,Hou,2,9.4,19.5,17.9,38.1,2,0,3,0.667,1,0,0.5,0.41,2,2,11.4,0,0,0,1,1.5,0,60.2,104.1
Cassius Winston,Was,22,4.5,9.3,17.1,12.3,6,0.833,16,0.375,17,0.471,0.545,0.575,1.9,0.4,4.9,0.5,16.3,0.09,0.05,0.23,6.4,110.5,109.7
Miye Oni,Uta,54,9.6,20,9.8,13.6,6,0.833,11,0.455,88,0.341,0.505,0.517,1.9,1.6,8.6,0.5,6.8,0.2,0.15,0.3,4.8,109.7,100
Alen Smailagic,Gol,15,5.6,11.6,17.7,14.4,6,0.333,17,0.412,10,0.4,0.481,0.472,1.9,1.1,10.2,0.3,6.6,0.2,0.33,0.33,6.1,92,100.9
Chandler Hutchison,Chi,7,9.1,18.9,16.3,20.9,2,1,15,0.267,3,0.333,0.306,0.344,1.9,2.9,17.4,0.6,7.9,0.14,0,0.71,6.5,67.1,97.5
Axel Toupane,Mil,8,7.7,15.9,9.6,0,7,0.714,9,0.333,2,0.5,0.409,0.497,1.8,0.8,5.2,0.5,7.6,0.25,0.38,0,4.7,118.6,105.5
Daniel Oturu,Lac,30,5.4,11.2,18.3,13.6,12,0.75,47,0.447,5,0.2,0.433,0.471,1.8,1.6,16.8,0.3,8.5,0.17,0.23,0.3,7.1,105.5,97.1
James Nunnally,Nor,9,5.3,11.1,14,12.6,2,0.5,1,1,12,0.333,0.538,0.54,1.7,1,10.2,0.3,8.1,0,0,0.22,6,107,116.3
T.J. Leaf,Por,7,5.1,10.5,15.7,15.5,2,1,10,0.5,0,0,0.5,0.551,1.7,0.7,7.5,0.1,3.9,0.29,0.14,0.29,3.9,96.7,114.7
Elijah Hughes,Uta,18,3.5,7.4,25.6,15.9,4,0.75,7,0.286,23,0.348,0.467,0.488,1.7,0.5,7.5,0.3,13.5,0.06,0.06,0.33,7.2,,
Damian Jones,Pho,14,6.7,13.9,12.8,22.4,11,0.545,15,0.533,1,0,0.5,0.528,1.6,1.3,10.9,0.3,5.3,0.07,0.36,0.43,5.1,100.4,94
Tim Frazier,Mem,5,12.4,25.8,18.2,15,6,0.333,12,0.25,8,0,0.15,0.177,1.6,1.6,6.8,3.2,30.8,0.4,0.2,0.8,6.5,63,103.5
Anthony Tolliver,Phi,11,9,18.8,9.8,13.3,6,0.833,3,0,14,0.286,0.353,0.433,1.5,0.9,5.6,0.2,2.5,0.27,0.18,0.27,2.9,90.7,106.3
Bruno Fernando,Atl,33,6.8,14.3,14.4,28.1,22,0.682,42,0.429,2,0,0.409,0.475,1.5,2.4,18.9,0.3,5.8,0.12,0.09,0.64,6,85.6,102.2
Al-Farouq Aminu,Chi,6,11.2,23.4,9.8,19.7,5,0.8,4,0.25,6,0.167,0.25,0.369,1.5,3.2,15.6,0.3,3.5,0.33,0,0.5,4,77,101.9
Cassius Stanley,Ind,24,3.9,8.1,21.9,2.1,9,0.778,30,0.333,13,0.231,0.337,0.383,1.5,0.8,11.6,0,1.4,0.04,0.08,0.04,0,,
Robert Woodard II,Sac,13,3.5,7.3,23.2,4.1,8,0.375,14,0.5,6,0.167,0.425,0.425,1.5,1.2,19.6,0.2,6.2,0,0.23,0.08,8.1,,
Maurice Harkless,Mia,11,11.2,23.4,6.2,17.8,2,0,2,0,11,0.455,0.577,0.54,1.4,1.2,6,0.6,7.3,0.18,0.36,0.27,3.6,105,104.3
Cristiano Felicio,Chi,18,4.6,9.7,12.5,16.6,16,0.563,11,0.636,2,0,0.538,0.574,1.3,1.4,17.2,0.5,13.6,0.22,0,0.22,8.4,124.2,100.3
Kris Dunn,Atl,4,11.4,23.6,16.1,17.9,4,0.75,10,0.1,2,0,0.083,0.182,1.3,1.5,7.2,0.5,5.4,0.5,0.5,0.75,3.5,40.9,91.4
Nate Darling,Cha,7,3.7,7.8,15.4,10.7,3,1,0,0,7,0.286,0.429,0.541,1.3,0.1,2.1,0.1,5.1,0,0.14,0.14,2.5,,
Jalen Lecque,Ind,4,3,6.3,36.3,0,3,1,8,0.125,1,0,0.111,0.242,1.3,1.3,22.4,0.5,20.4,0,0,0,12.6,,
Norvel Pelle,Nyk,9,5.8,12,6.8,0,2,0.5,7,0.714,0,0,0.714,0.698,1.2,1.2,11.5,0.1,2.7,0.11,0.67,0,3.6,149.8,103.1
Juwan Morgan,Uta,29,5.1,10.6,10.9,10.8,7,0.429,17,0.588,13,0.308,0.533,0.529,1.2,1,10.1,0.3,8,0.14,0.03,0.14,5.6,115.6,96.6
Marques Bolden,Cle,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.7,0,0,0.33,0.33,0.33,0,100.2,116.4
Andre Roberson,Bro,5,12.6,26.2,11.7,11.8,2,0.5,6,0.167,8,0.125,0.179,0.202,1.2,3,13.2,0.8,7.4,0.6,0.2,0.4,4.5,78.5,109.5
Mfiondu Kabengele,Lac,23,4.1,8.5,19.2,14.8,6,0.833,14,0.357,18,0.222,0.344,0.39,1.2,0.6,8.4,0.2,6.9,0.09,0.13,0.26,5.1,77.3,93.7
Sindarius Thornwell,Nor,14,5.2,10.9,14.8,15.5,2,0,12,0.333,9,0.333,0.405,0.388,1.2,0.4,3.7,0.3,7,0.36,0.07,0.29,4,76.1,111.8
Moritz Wagner,Bos,9,6.8,14.1,16.9,37.7,2,0.5,8,0.25,6,0.333,0.357,0.37,1.2,2.1,17.4,0.7,12.4,0,0.11,1,7.1,65.4,97
Rodions Kurucs,Hou,11,6.8,14.2,17.5,29.1,2,0.5,6,0.5,15,0.133,0.286,0.297,1.2,1,7.8,0.4,7.1,0.55,0.36,0.82,4.6,53,106.3
Karim Mane,Orl,10,8.8,18.4,8.9,16.5,5,0.8,11,0.182,2,0.5,0.269,0.362,1.1,1.4,8.2,0.4,6,0,0.2,0.3,3.9,76.6,106.8
Adam Mokoka,Chi,14,4,8.4,18.9,20.5,1,0,9,0.667,10,0.1,0.395,0.386,1.1,0.4,4.9,0.4,11.9,0.14,0.07,0.36,5.6,72.9,107.5
Udoka Azubuike,Uta,15,3.8,7.9,12.4,18.3,10,0.8,9,0.444,0,0,0.444,0.597,1.1,0.9,12.1,0,0,0.07,0.27,0.2,0,,
Patrick McCaw,Tor,5,6.7,13.9,3,0,3,1,1,1,0,0,1,1.078,1,0.6,4.9,0.8,15,0.4,0,0,4.7,231.8,97.9
Tyrell Terry,Dal,11,5.1,10.7,15.2,10.4,3,0.333,9,0.556,7,0,0.313,0.318,1,0.5,5.9,0.5,13.9,0.45,0,0.18,4.9,75.1,109.9
Jordan Bell,Gol,1,14.7,30.6,11.3,25.8,2,0.5,2,0,0,0,0,0.174,1,5,18.1,2,15.8,0,2,1,5.9,69.9,97.8
Iman Shumpert,Bro,2,5.5,11.5,19.8,20,0,0,1,1,3,0,0.25,0.25,1,0.5,5,0,0,0.5,0,0.5,0,55.9,117.4
Tyler Bey,Dal,18,3.9,8.2,16.9,11,5,0.6,18,0.333,4,0.25,0.341,0.372,1,1,14,0.2,5.6,0,0.06,0.17,6,,
Malik Fitts,Lac,3,3.6,7.5,12.3,0,0,0,1,0,2,0.5,0.5,0.5,1,1,15.6,0,0,0,0,0,0,,
Shaquille Harrison,Uta,17,3.3,6.8,21.4,18.1,6,0.833,18,0.333,2,0,0.3,0.375,1,0.5,8.6,0.5,21.6,0.12,0,0.29,7.6,,
Kostas Antetokounmpo,Lal,15,3.7,7.8,20.8,41.2,13,0.462,10,0.3,0,0,0.3,0.382,0.8,1.3,19.1,0.1,2.3,0.13,0.27,0.73,5.1,,
Vincent Poirier,Phi,10,3.9,8.1,19.4,17,6,0.333,11,0.273,1,0,0.25,0.273,0.8,1.3,18.3,0.2,6.6,0,0.3,0.3,6.1,,
Nick Richards,Cha,18,3.5,7.2,11.6,17.8,11,0.636,8,0.5,1,0,0.444,0.542,0.8,0.6,9.5,0.1,4.2,0,0,0.17,4.2,,
Keljin Blevins,Por,17,4.4,9.2,14.4,20,0,0,12,0.25,8,0.25,0.3,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,0.29,4,66.2,109.2
Cameron Reynolds,San,3,2.1,4.3,14,0,0,0,2,0.5,0,0,0.5,0.5,0.7,0,0,0,0,0,0,0,0,,
Ty-Shon Alexander,Pho,15,3.2,6.6,14.9,18.9,2,0.5,3,0.333,9,0.222,0.333,0.349,0.6,0.7,11.9,0.4,15.2,0,0.07,0.2,6.9,,
Brian Bowen II,Ind,5,2.8,5.9,13.4,0,1,1,3,0.333,1,0,0.25,0.338,0.6,0.6,11.5,0,0,0,0,0,0,,
Rodions Kurucs,Bro,5,3.2,6.6,8.3,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.5,0.4,15.3,0,0,0,6.6,,
Jared Dudley,Lal,12,6.7,14,5.9,18.2,0,0,3,0,6,0.333,0.333,0.333,0.5,1.8,14.6,0.4,7.6,0.08,0.08,0.17,4.2,93.2,100.7
Tyler Cook,Bro,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.7,0.5,14.5,0,0,0.25,4.8,88,108.1
Ignas Brazdeikis,Nyk,4,1.8,3.7,18.1,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,15.3,0.3,17.3,0,0,0.25,9.4,,
Chris Silva,Sac,4,2.4,4.9,18.1,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,11.7,0,0,0,0.25,0.25,0,,
Jared Harper,Nyk,8,2,4.2,24.1,34.2,4,0.75,3,0,1,0,0,0.26,0.4,0.3,6.7,0.1,7.6,0,0,0.38,4.6,,
Jaylen Adams,Mil,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.6,0,0,0,5.1,,
Terrance Ferguson,Phi,13,3.8,7.9,9.6,36.4,0,0,2,0.5,5,0,0.143,0.143,0.2,0.1,1.1,0.2,4.9,0.08,0,0.31,1.7,,
Theo Pinson,Nyk,17,2,4.2,13.1,10,0,0,1,1,8,0,0.111,0.111,0.1,0.3,8,0.1,3.7,0,0,0.06,2.9,,
Gary Clark,Phi,2,6.4,13.3,3.4,0,0,0,1,0,0,0,0,0,0,1,8.6,0.5,9.1,0.5,0,0,0,56.9,100.4
Anzejs Pasecniks,Was,1,6.3,13.1,39.4,83.3,0,0,0,0,1,0,0,0,0,1,8.4,1,17.8,0,0,5,0,20.7,88.8
Ignas Brazdeikis,Phi,1,7.9,16.5,16.3,0,0,0,2,0,1,0,0,0,0,2,13.9,0,0,0,0,0,0,0,110.9
Gary Clark,Den,2,2.1,4.3,0,,0,0,0,0,0,0,,,0,0.5,13.8,0,0,0,0,0,0,,
Ashton Hagans,Min,2,2.1,4.3,10.2,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.5,0,,
Will Magnay,Nor,1,3.3,6.9,25.5,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
Noah Vonleh,Bro,4,2.7,5.6,20.2,40,0,0,1,0,2,0,0,0,0,0.3,5.1,0.3,10.4,0,0,0.5,0,,
Greg Whittington,Den,4,3,6.3,10.9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
